Name,Type,HP
Bulbasaur,Grass,45
Ivysaur,Grass,60
Venusaur,Grass,80
Charmander,Fire,39
Charmeleon,Fire,58
Charizard,Fire,78
Squirtle,Water,44
Wartortle,Water,59
Blastoise,Water,79
Caterpie,Bug,45
Metapod,Bug,50
Butterfree,Bug,60
Weedle,Bug,40
Kakuna,Bug,45
Beedrill,Bug,65
Pidgey,Normal,40
Pidgeotto,Normal,63
Pidgeot,Normal,83
Rattata,Normal,30
Raticate,Normal,55
Spearow,Normal,40
Fearow,Normal,65
Ekans,Poison,35
Arbok,Poison,60
Pikachu,Electric,35
Raichu,Electric,60
Sandshrew,Ground,50
Sandslash,Ground,75
Nidoran,Poison,55
Nidorina,Poison,70
Nidoqueen,Poison,90
Nidorino,Poison,61
Nidoking,Poison,81
Clefairy,Normal,70
Clefable,Normal,95
Vulpix,Fire,38
Ninetales,Fire,73
Jigglypuff,Normal,115
Wigglytuff,Normal,140
Zubat,Poison,40
Golbat,Poison,75
Oddish,Grass,45
Gloom,Grass,60
Vileplume,Grass,75
Paras,Bug,35
Parasect,Bug,60
Venonat,Bug,60
Venomoth,Bug,70
Diglett,Ground,10
Dugtrio,Ground,35
Meowth,Normal,40
Persian,Normal,65
Psyduck,Water,50
Golduck,Water,80
Mankey,Fight,40
Primeape,Fight,65
Growlithe,Fire,55
Arcanine,Fire,90
Poliwag,Water,40
Poliwhirl,Water,65
Poliwrath,Water,90
Abra,Psychic,25
Kadabra,Psychic,40
Alakazam,Psychic,55
Machop,Fight,70
Machoke,Fight,80
Machamp,Fight,90
Bellsprout,Grass,50
Weepinbell,Grass,65
Victreebel,Grass,80
Tentacool,Water,40
Tentacruel,Water,80
Geodude,Rock,40
Graveler,Rock,55
Golem,Rock,80
Ponyta,Fire,50
Rapidash,Fire,65
Slowpoke,Water,90
Slowbro,Water,95
Magnemite,Electric,25
Magneton,Electric,50
Farfetch,Dual,52
Doduo,Normal,35
Dodrio,Normal,60
Seel,Water,65
Dewgong,Water,90
Grimer,Poison,80
Muk,Poison,105
Shellder,Water,30
Cloyster,Water,50
Gastly,Ghost,30
Haunter,Ghost,45
Gengar,Ghost,60
Onix,Rock,35
Drowzee,Psychic,60
Hypno,Psychic,85
Krabby,Water,30
Kingler,Water,55
Voltorb,Electric,40
Electrode,Electric,60
Exeggcute,Grass,60
Exeggutor,Grass,95
Cubone,Ground,50
Marowak,Ground,60
Hitmonlee,Fight,50
Hitmonchan,Fight,50
Lickitung,Normal,90
Koffing,Poison,40
Weezing,Poison,65
Rhyhorn,Rock,80
Rhydon,Rock,105
Chansey,Normal,250
Tangela,Grass,65
Kangaskhan,Normal,105
Horsea,Water,30
Seadra,Water,55
Goldeen,Water,45
Seaking,Water,80
Staryu,Water,30
Starmie,Water,60
MrMime,Psychic,40
Scyther,Bug,70
Jynx,Ice,65
Electabuzz,Electric,65
Magmar,Fire,65
Pinsir,Bug,65
Tauros,Normal,75
Magikarp,Water,20
Gyarados,Water,95
Lapras,Water,130
Ditto,Normal,48
Eevee,Normal,55
Vaporeon,Water,130
Jolteon,Electric,65
Flareon,Fire,65
Porygon,Normal,65
Omanyte,Rock,35
Omastar,Rock,70
Kabuto,Rock,30
Kabutops,Rock,60
Aerodactyl,Rock,80
Snorlax,Normal,160
Articuno,Ice,90
Zapdos,Electric,90
Moltres,Fire,90
Dratini,Dragon,41
Dragonair,Dragon,61
Dragonite,Dragon,91
Mewtwo,Psychic,106
Mew,Psychic,100
